seed,learning_rate,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy,defender_vf_loss,attacker_vf_loss
1,7e-05,1,1.3236970901489258,256,-477.4,50.0,-201.4,-276.0,0.04912041500210762,0.035284094512462616,3.4278236627578735,3.414483517408371,9.861099123954773,9.582140326499939
1,7e-05,2,2.6348578929901123,512,-491.4,50.0,-46.2,-445.2,-0.0103750079870224,-0.017770644277334213,3.405616194009781,3.384397953748703,9.79922330379486,9.898807644844055
1,7e-05,3,3.9737796783447266,768,-462.73333333333335,50.0,23.733333333333334,-486.46666666666664,-0.006016694009304047,-0.010216742753982544,3.4076755046844482,3.3745245039463043,9.759311079978943,10.0
1,7e-05,4,5.288599491119385,1024,-477.0,50.0,53.45,-530.45,-0.01066511869430542,-0.007835155352950096,3.4036923944950104,3.3462899923324585,9.783444881439209,9.95013701915741
1,7e-05,5,6.599936485290527,1280,-488.72,50.0,153.68,-642.4,-0.008053541474509984,-0.008133467752486467,3.3879195749759674,3.3421249985694885,9.956809759140015,9.990163207054138
1,7e-05,6,7.895630359649658,1536,-490.6,50.0,198.03333333333333,-688.6333333333333,-0.006347041577100754,-0.00786248967051506,3.372595578432083,3.3416623175144196,9.896769285202026,9.896527528762817
1,7e-05,7,9.209790229797363,1792,-489.0857142857143,50.0,177.28571428571428,-666.3714285714286,-0.00953277200460434,-0.012438461184501648,3.3277475833892822,3.308601588010788,9.945373773574829,9.81575083732605
1,7e-05,8,10.504814147949219,2048,-475.7,50.0,164.825,-640.525,-0.01118374615907669,-0.01775229349732399,3.3565339148044586,3.25760880112648,9.561913251876831,9.80338990688324
1,7e-05,9,11.84045934677124,2304,-462.5217391304348,50.0,166.95652173913044,-629.4782608695652,-0.004101933911442757,-0.009235029807314277,3.3160251677036285,3.177298903465271,9.754249691963196,9.580580472946167
1,7e-05,10,13.142141342163086,2560,-450.7843137254902,50.0,176.09803921568627,-626.8823529411765,-0.005327850580215454,-0.01931936666369438,3.2981123626232147,3.0867291390895844,9.908850908279419,9.899597644805908
1,7e-05,11,14.467259168624878,2816,-432.98214285714283,50.0,198.98214285714286,-631.9642857142857,-0.0036711227148771286,-0.019798925146460533,3.2852055430412292,2.928510755300522,9.80552613735199,9.851887226104736
1,7e-05,12,15.796890258789062,3072,-420.7049180327869,50.0,214.85245901639345,-635.5573770491803,-0.006830103695392609,-0.010179953649640083,3.303707331418991,2.7347187399864197,9.724336743354797,9.930291652679443
1,7e-05,13,17.108935356140137,3328,-411.3636363636364,50.0,210.45454545454547,-621.8181818181819,-0.004013668745756149,-0.014951592311263084,3.3443116545677185,2.6086959540843964,9.526829242706299,9.623023986816406
1,7e-05,14,18.435951471328735,3584,-396.2112676056338,50.0,213.64788732394365,-609.8591549295775,-0.01116585684940219,-0.007346682250499725,3.3427228033542633,2.4821598827838898,9.902359008789062,9.738030672073364
1,7e-05,15,19.81263756752014,3840,-379.5,50.0,214.1578947368421,-593.6578947368421,-0.006690140813589096,-0.005658500827848911,3.349115937948227,2.387789398431778,9.821886897087097,9.405609250068665
1,7e-05,16,21.119905710220337,4096,-364.9382716049383,50.0,218.25925925925927,-583.1975308641976,-0.011106137186288834,-0.007557527860626578,3.367441803216934,2.3622661232948303,9.791640281677246,9.961692571640015
1,7e-05,17,22.43485379219055,4352,-345.39080459770116,50.0,221.33333333333334,-566.7241379310345,-0.005597616545855999,-0.00950247049331665,3.3699055314064026,2.3844774663448334,9.8843275308609,9.750787019729614
1,7e-05,18,23.7772536277771,4608,-337.4021739130435,50.0,220.45652173913044,-557.8586956521739,-0.01127732265740633,-0.005909120664000511,3.344858556985855,2.3324241936206818,9.433348894119263,9.825034022331238
1,7e-05,19,25.075669765472412,4864,-323.29896907216494,50.0,219.09278350515464,-542.3917525773196,-0.007454384118318558,-0.0047097764909267426,3.3121233582496643,2.241750180721283,9.657863855361938,9.468607544898987
1,7e-05,20,26.388739585876465,5120,-306.33,50.0,226.35,-532.68,-0.015548516064882278,-0.010088756680488586,3.3371297121047974,2.2717926800251007,9.801050662994385,9.20201325416565
1,7e-05,21,27.69352960586548,5376,-289.0,50.0,250.95,-539.95,-0.006792619824409485,-0.014258008450269699,3.2857196629047394,2.2186717092990875,9.752273678779602,9.605842471122742
1,7e-05,22,28.999932765960693,5632,-269.34,50.0,253.74,-523.08,-0.009083714336156845,-0.012606728821992874,3.3205697536468506,2.0574947893619537,9.73813784122467,9.59008252620697
1,7e-05,23,30.464985609054565,5888,-243.01,50.0,257.41,-500.42,-0.010287158191204071,-0.013978327624499798,3.3473068177700043,1.8549936264753342,9.875468969345093,9.381822347640991
1,7e-05,24,31.777029514312744,6144,-217.32,50.0,253.06,-470.38,-0.010632313671521842,-0.009766578674316406,3.365881532430649,1.6149796098470688,9.738615036010742,8.9123375415802
1,7e-05,25,33.07374024391174,6400,-181.17,50.0,236.69,-417.86,-0.005620268173515797,-0.009504199028015137,3.3441661596298218,1.4357604831457138,9.681381940841675,8.54761952161789
1,7e-05,26,34.41172218322754,6656,-152.01,50.0,240.32,-392.33,-0.007650916464626789,-0.007503310218453407,3.350582629442215,1.3079132437705994,9.807623863220215,8.257365226745605
1,7e-05,27,35.74109435081482,6912,-116.57,50.0,251.94,-368.51,-0.006612151861190796,-0.0032436251640319824,3.370193213224411,1.2589027285575867,9.893120884895325,7.01582270860672
1,7e-05,28,37.02719831466675,7168,-93.11,50.0,256.58,-349.69,-0.005298387259244919,-0.007556907832622528,3.390026569366455,1.1611797362565994,9.35829472541809,8.279750049114227
1,7e-05,29,38.331061124801636,7424,-75.49,50.0,248.77,-324.26,-0.006344258785247803,-0.006381606683135033,3.386276602745056,1.0628988593816757,9.064019203186035,8.132421553134918
1,7e-05,30,39.67978501319885,7680,-52.74,50.0,246.82,-299.56,-0.012688938528299332,-0.0013701526913791895,3.351465106010437,0.9734900072216988,9.8378826379776,7.0430678725242615
1,7e-05,31,40.969717025756836,7936,-26.3,50.0,241.2,-267.5,-0.007322575896978378,-0.006536755710840225,3.3314897418022156,0.8914244845509529,9.850639462471008,7.086219906806946
1,7e-05,32,42.28275799751282,8192,-8.99,50.0,235.25,-244.24,-0.0034120972268283367,-0.007031138986349106,3.3126473128795624,0.8069161400198936,9.55072796344757,7.995691180229187
1,7e-05,33,43.61130881309509,8448,22.29,50.0,244.79,-222.5,-0.005494270473718643,-0.004204258322715759,3.3273817598819733,0.7048080638051033,9.882847428321838,7.134639203548431
1,7e-05,34,44.914665937423706,8704,32.79,50.0,234.24,-201.45,-0.007202105596661568,-0.004755362868309021,3.2967558205127716,0.6727143079042435,9.435507416725159,7.258596301078796
1,7e-05,35,46.216301679611206,8960,53.0,50.0,238.25,-185.25,-0.006671492010354996,-0.002989080734550953,3.297625482082367,0.5973802506923676,9.835667967796326,7.679109036922455
1,7e-05,36,47.495163679122925,9216,62.68,50.0,235.13,-172.45,-0.010578213259577751,-0.009365228936076164,3.230650454759598,0.5069040842354298,9.84950315952301,4.85528951883316
1,7e-05,37,48.78094840049744,9472,82.82,50.0,236.21,-153.39,-0.0150221586227417,-0.004536181688308716,3.2048842906951904,0.4536926746368408,9.784083843231201,2.4926538169384003
1,7e-05,38,50.06637954711914,9728,99.72,50.0,239.47,-139.75,-0.002595800906419754,-0.005180578678846359,3.1849537789821625,0.40407268702983856,9.448039770126343,5.146673917770386
1,7e-05,39,51.386964559555054,9984,111.15,50.0,241.18,-130.03,-0.008378606289625168,-0.006253264844417572,3.19601908326149,0.3725350573658943,9.565343856811523,3.828035593032837
1,7e-05,40,52.67970371246338,10240,125.65,50.0,243.31,-117.66,-0.004351239651441574,-0.0034586722031235695,3.233439952135086,0.364143293350935,8.883307099342346,2.106731504201889
1,7e-05,41,53.986496925354004,10496,140.73,50.0,237.31,-96.58,-0.004037450649775565,-0.002541456837207079,3.2478179037570953,0.32443615049123764,9.267771124839783,1.9205581098794937
1,7e-05,42,55.286078691482544,10752,154.92,50.0,237.87,-82.95,-0.007273957133293152,-0.003015875816345215,3.1856894195079803,0.31321240961551666,9.669157028198242,5.015431374311447
1,7e-05,43,56.593183755874634,11008,165.71,50.0,240.3,-74.59,-0.0074546802788972855,-0.002893224358558655,3.1455814838409424,0.2875329963862896,9.801304697990417,2.4669632017612457
1,7e-05,44,57.87804579734802,11264,177.88,50.0,245.63,-67.75,-0.010804988443851471,-0.0017619291320443153,3.0218367874622345,0.2721449974924326,9.792803287506104,0.9166951104998589
1,7e-05,45,59.16776490211487,11520,190.3,50.0,252.35,-62.05,-0.004613788798451424,-0.002228289842605591,3.0872822999954224,0.25079962983727455,9.62064254283905,0.5432693175971508
